行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润
60,CN-202023-4838467,2024/11/16,2024/11/23,标准级,麦虹-13855,麦虹,公司,西安,陕西,中国,西北,办公用-收纳-10002943,办公用品,收纳具,文件车,1198.4,2,0,455.28
61,CN-202020-3232413,2021/8/24,2021/8/27,二级,袁保-10405,袁保,公司,阳江,广东,中国,中南,技术-复印-10001943,技术,复印机,传真机,2954.84,2,0,1152.2
62,CN-202022-4162714,2023/6/7,2023/6/10,一级,马丽-16480,马丽娜,消费者,邓州,河南,中国,中南,技术-设备-10004500,技术,设备,电话,2775.36,7,0,332.22
63,CN-202020-4497265,2021/1/21,2021/1/23,一级,谭君-15265,谭君,公司,曲阜,山东,中国,华东,办公用-标签-10002381,办公用品,标签,运输标签,276.5,5,0,132.3
64,CN-202020-4497265,2021/1/21,2021/1/23,一级,谭君-15265,谭君,公司,曲阜,山东,中国,华东,办公用-系固-10004216,办公用品,系固件,回形针,255.5,5,0,51.1
65,CN-202023-5922906,2024/9/15,2024/9/17,二级,钱伟-21430,钱伟,公司,湛江,广东,中国,中南,技术-设备-10003635,技术,设备,打印机,4784.08,4,0,382.48
66,US-202020-3767771,2021/12/19,2021/12/24,标准级,陶武-21880,陶武,公司,孝感,湖北,中国,中南,办公用-器具-10003836,办公用品,器具,微波炉,6900.768,8,0.4,-3106.432
67,US-202020-1166331,2021/10/31,2021/11/1,当日,陶聪-11725,陶聪,消费者,浏阳,湖南,中国,中南,办公用-美术-10002740,办公用品,美术,速写本,497.616,3,0.2,-37.464
68,US-202020-1166331,2021/10/31,2021/11/1,当日,陶聪-11725,陶聪,消费者,浏阳,湖南,中国,中南,办公用-纸张-10002104,办公用品,纸张,计划信息表,391.02,3,0,23.1
69,CN-202022-3064620,2023/3/11,2023/3/16,二级,韩凤-12820,韩凤,小型企业,哈尔滨,黑龙江,中国,东北,技术-配件-10003980,技术,配件,路由器,3591.84,3,0,933.66
70,CN-202021-3188191,2022/9/27,2022/10/2,二级,涂博-10585,涂博,消费者,滕州,山东,中国,华东,办公用-标签-10004567,办公用品,标签,有色标签,300.3,5,0,149.8
71,CN-202021-5717181,2022/9/15,2022/9/18,一级,钟庆-19510,钟庆缘,小型企业,北京,北京,中国,华北,办公用-信封-10002784,办公用品,信封,搭扣信封,292.6,5,0,125.3
72,CN-202021-5717181,2022/9/15,2022/9/18,一级,钟庆-19510,钟庆缘,小型企业,北京,北京,中国,华北,家具-书架-10000904,家具,书架,书架,572.04,1,0,62.86
73,CN-202023-2187292,2024/10/26,2024/10/28,二级,孟刚-13180,孟刚,公司,重庆,重庆,中国,西南,技术-电话-10000393,技术,电话,信号增强器,1930.32,3,0,810.6
74,CN-202023-2187292,2024/10/26,2024/10/28,二级,孟刚-13180,孟刚,公司,重庆,重庆,中国,西南,办公用-信封-10003279,办公用品,信封,邮寄品,527.1,3,0,47.04
75,CN-202023-2187292,2024/10/26,2024/10/28,二级,孟刚-13180,孟刚,公司,重庆,重庆,中国,西南,技术-电话-10001992,技术,电话,充电器,2974.72,1,0,594.86
76,US-202020-3275681,2021/2/2,2021/2/6,二级,黄丽-15835,黄丽,消费者,椒江,浙江,中国,华东,办公用-用品-10001427,办公用品,用品,大剪刀,658.14,5,0.4,-33.46
77,CN-202020-5821791,2021/12/23,2021/12/27,标准级,倪幂-18085,倪幂,消费者,西安,陕西,中国,西北,办公用-系固-10000833,办公用品,系固件,橡皮筋,150.36,2,0,23.8
78,CN-202020-5821791,2021/12/23,2021/12/27,标准级,倪幂-18085,倪幂,消费者,西安,陕西,中国,西北,办公用-标签-10000918,办公用品,标签,圆形标签,98.7,3,0,16.38
79,CN-202020-5821791,2021/12/23,2021/12/27,标准级,倪幂-18085,倪幂,消费者,西安,陕西,中国,西北,办公用-标签-10002018,办公用品,标签,合法证物标签,78.12,2,0,16.24
80,CN-202022-4126497,2023/3/11,2023/3/16,标准级,钱珊-19855,钱珊,公司,南昌,江西,中国,华东,办公用-标签-10002541,办公用品,标签,运输标签,611.52,14,0,84.28
81,CN-202022-4126497,2023/3/11,2023/3/16,标准级,钱珊-19855,钱珊,公司,南昌,江西,中国,华东,办公用-用品-10003186,办公用品,用品,尺子,120.96,2,0,36.12
82,CN-202022-1751343,2023/8/8,2023/8/8,当日,彭雯-21790,彭雯,消费者,西安,陕西,中国,西北,技术-复印-10002908,技术,复印机,复印机,2443.28,2,0,439.6
83,US-202021-1803838,2022/8/22,2022/8/27,二级,谢雯-21700,谢雯,小型企业,叶柏寿,辽宁,中国,东北,技术-复印-10004933,技术,复印机,墨水,696.696,2,0.4,-395.024
84,US-202021-1803838,2022/8/22,2022/8/27,二级,谢雯-21700,谢雯,小型企业,叶柏寿,辽宁,中国,东北,办公用-标签-10002776,办公用品,标签,圆形标签,58.38,3,0,26.04
85,CN-202020-4861225,2021/6/1,2021/6/6,标准级,韦立-16915,韦立,消费者,上海,上海,中国,华东,办公用-信封-10002440,办公用品,信封,外皮和封条,571.34,7,0,194.04
86,CN-202020-4861225,2021/6/1,2021/6/6,标准级,韦立-16915,韦立,消费者,上海,上海,中国,华东,家具-用具-10002471,家具,用具,分层置放架,588.7,5,0,123.2
87,CN-202023-3172853,2024/5/28,2024/6/2,二级,熊丽-15805,熊丽,公司,西宁,青海,中国,西北,办公用-标签-10000895,办公用品,标签,有色标签,302.4,6,0,45.36
88,CN-202022-5552260,2023/7/26,2023/7/26,当日,曾康-15445,曾康,消费者,绵阳,四川,中国,西南,家具-用具-10001977,家具,用具,框架,1929.816,6,0.4,192.696
89,US-202020-1357144,2021/12/14,2021/12/18,标准级,郝升-20095,郝升,消费者,武汉,湖北,中国,中南,技术-电话-10002696,技术,电话,充电器,7327.488,4,0.4,-3664.192
90,CN-202020-5926511,2021/11/17,2021/11/22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-装订-10000287,办公用品,装订机,孔加固材料,42.28,2,0,10.08
91,CN-202020-5926511,2021/11/17,2021/11/22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-收纳-10001262,办公用品,收纳具,搁板,664.86,3,0,186.06
92,CN-202020-5926511,2021/11/17,2021/11/22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-收纳-10003464,办公用品,收纳具,盘,567,2,0,243.6
93,CN-202020-5926511,2021/11/17,2021/11/22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-收纳-10004132,办公用品,收纳具,盘,580.16,2,0,255.08
94,US-202023-4733722,2024/5/21,2024/5/24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-用品-10001876,办公用品,用品,大剪刀,398.916,3,0.4,-226.464
95,US-202023-4733722,2024/5/21,2024/5/24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,家具-椅子-10004416,家具,椅子,折叠椅,1182.72,5,0.4,-39.48
96,US-202023-4733722,2024/5/21,2024/5/24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-系固-10001646,办公用品,系固件,夹子,276.78,5,0.4,-14.42
97,US-202023-4733722,2024/5/21,2024/5/24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-信封-10004907,办公用品,信封,局间信封,665.28,3,0,66.36
98,US-202023-4733722,2024/5/21,2024/5/24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-美术-10002705,办公用品,美术,荧光笔,29.4,2,0.8,-63.28
99,CN-202023-5834341,2024/11/10,2024/11/14,标准级,马惠-14335,马惠英,公司,南宁,广西,中国,中南,技术-设备-10003039,技术,设备,收据打印机,2186.8,4,0,612.08
100,CN-202021-1973789,2022/1/25,2022/1/28,一级,涂博-10585,涂博,消费者,泉州,福建,中国,华东,办公用-用品-10000800,办公用品,用品,修剪器,606.06,3,0,48.3
101,CN-202021-1973789,2022/1/25,2022/1/28,一级,涂博-10585,涂博,消费者,泉州,福建,中国,华东,办公用-器具-10004620,办公用品,器具,咖啡研磨机,720.72,4,0,222.88
102,CN-202023-3766882,2024/11/14,2024/11/18,标准级,巩松-20680,巩松,小型企业,天津,天津,中国,华北,办公用-用品-10000056,办公用品,用品,开信刀,249.2,2,0,122.08
103,CN-202023-3665640,2024/10/23,2024/10/28,二级,孙辉-12625,孙辉,小型企业,天津,天津,中国,华北,办公用-装订-10002223,办公用品,装订机,装订机,185.64,3,0,0
104,CN-202023-3665640,2024/10/23,2024/10/28,二级,孙辉-12625,孙辉,小型企业,天津,天津,中国,华北,家具-用具-10004678,家具,用具,闹钟,2315.88,9,0,69.3
105,CN-202023-3665640,2024/10/23,2024/10/28,二级,孙辉-12625,孙辉,小型企业,天津,天津,中国,华北,家具-椅子-10003692,家具,椅子,扶手椅,2153.34,1,0,947.38
106,CN-202021-5378913,2022/10/10,2022/10/12,一级,彭伟-21550,彭伟,小型企业,七台河,黑龙江,中国,东北,家具-椅子-10004126,家具,椅子,折叠椅,2606.8,7,0,155.82
107,CN-202021-5378913,2022/10/10,2022/10/12,一级,彭伟-21550,彭伟,小型企业,七台河,黑龙江,中国,东北,技术-配件-10004359,技术,配件,键区,803.04,4,0,96.32
108,CN-202022-2045726,2023/10/17,2023/10/18,一级,巩关-15595,巩关茵,公司,徐州,江苏,中国,华东,办公用-用品-10001026,办公用品,用品,修剪器,546,5,0.4,81.9
109,CN-202022-2045726,2023/10/17,2023/10/18,一级,巩关-15595,巩关茵,公司,徐州,江苏,中国,华东,技术-复印-10001588,技术,复印机,复印机,4453.848,6,0.4,-1484.952
110,CN-202023-2328434,2024/9/12,2024/9/15,一级,黄娟-15130,黄娟,消费者,扬州,江苏,中国,华东,办公用-纸张-10003708,办公用品,纸张,计划信息表,346.08,3,0,17.22
111,CN-202022-3984376,2023/8/5,2023/8/7,二级,陈莲-16930,陈莲,公司,北京,北京,中国,华北,办公用-装订-10000285,办公用品,装订机,孔加固材料,85.68,3,0,38.22
112,CN-202023-5057492,2024/1/28,2024/2/2,二级,韦锦-14950,韦锦,消费者,株洲,湖南,中国,中南,办公用-器具-10003636,办公用品,器具,微波炉,1445.5,1,0,28.84
113,CN-202023-1118317,2024/5/20,2024/5/25,标准级,谭珊-19900,谭珊,消费者,青冈,黑龙江,中国,东北,技术-电话-10003105,技术,电话,办公室电话机,913.08,3,0,355.74
114,CN-202022-1498643,2023/6/22,2023/6/22,当日,牛德-12190,牛德伟,消费者,新泰,山东,中国,华东,技术-配件-10004442,技术,配件,路由器,2416.96,2,0,1015
115,CN-202022-1498643,2023/6/22,2023/6/22,当日,牛德-12190,牛德伟,消费者,新泰,山东,中国,华东,办公用-用品-10002859,办公用品,用品,大剪刀,1149.4,5,0,298.2
116,US-202023-4595101,2024/2/21,2024/2/24,二级,马惠-14335,马惠英,公司,仪征,江苏,中国,华东,办公用-美术-10002408,办公用品,美术,铅笔刀,140.28,6,0.8,-336.84
117,US-202023-4595101,2024/2/21,2024/2/24,二级,马惠-14335,马惠英,公司,仪征,江苏,中国,华东,办公用-装订-10003175,办公用品,装订机,装订机,108.36,3,0.4,12.6
118,CN-202021-3269021,2022/10/8,2022/10/8,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-信封-10002440,办公用品,信封,外皮和封条,489.72,6,0,166.32
119,CN-202021-3269021,2022/10/8,2022/10/8,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,技术-设备-10003147,技术,设备,收据打印机,301.644,1,0.4,-170.996
120,CN-202021-3269021,2022/10/8,2022/10/8,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-信封-10000118,办公用品,信封,马尼拉纸信封,278.04,2,0,27.72
121,CN-202021-3269021,2022/10/8,2022/10/8,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,技术-配件-10002633,技术,配件,记忆卡,1160.208,4,0.4,173.488
122,CN-202021-3269021,2022/10/8,2022/10/8,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,技术-电话-10002475,技术,电话,办公室电话机,1301.832,7,0.4,-195.608
123,CN-202021-3269021,2022/10/8,2022/10/8,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-收纳-10000793,办公用品,收纳具,锁柜,2778.3,3,0,222.18
124,CN-202021-3269021,2022/10/8,2022/10/8,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-信封-10000562,办公用品,信封,搭扣信封,212.8,4,0,97.44
125,CN-202021-3269021,2022/10/8,2022/10/8,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-用品-10004613,办公用品,用品,美工刀,204.456,2,0.4,-47.824
126,CN-202021-2594036,2022/2/15,2022/2/21,标准级,雷木-18415,雷木兰,消费者,杭州,浙江,中国,华东,家具-椅子-10001116,家具,椅子,摇椅,731.472,2,0.4,60.872
127,US-202020-3737485,2021/12/24,2021/12/26,二级,马惠-14335,马惠英,公司,杭州,浙江,中国,华东,技术-配件-10004773,技术,配件,闪存驱动器,556.5,5,0.4,-343.7
128,CN-202022-3815654,2023/2/27,2023/3/4,标准级,丁妮-18610,丁妮,公司,禹州,河南,中国,中南,技术-复印-10003823,技术,复印机,墨水,3036.6,5,0,1335.6
129,US-202023-2352370,2024/9/11,2024/9/17,标准级,沈聪-11710,沈聪,消费者,沈阳,辽宁,中国,东北,技术-配件-10002905,技术,配件,键盘,1402.128,6,0.4,-163.632
130,US-202023-2352370,2024/9/11,2024/9/17,标准级,沈聪-11710,沈聪,消费者,沈阳,辽宁,中国,东北,办公用-装订-10002241,办公用品,装订机,订书机,1516.284,11,0.4,-682.836
131,CN-202021-2554132,2022/7/17,2022/7/17,当日,吕凤-12910,吕凤,小型企业,珠海,广东,中国,中南,办公用-标签-10002989,办公用品,标签,运输标签,477.54,9,0,56.7
132,CN-202022-4214287,2023/11/12,2023/11/17,标准级,倪幂-18085,倪幂,消费者,重庆,重庆,中国,西南,办公用-标签-10002776,办公用品,标签,圆形标签,77.84,4,0,34.72
133,CN-202022-4214287,2023/11/12,2023/11/17,标准级,倪幂-18085,倪幂,消费者,重庆,重庆,中国,西南,办公用-装订-10004829,办公用品,装订机,孔加固材料,72.24,4,0,16.8
134,US-202023-4736051,2024/1/17,2024/1/22,二级,杨健-14605,杨健,消费者,肃州,甘肃,中国,西北,办公用-装订-10002836,办公用品,装订机,订书机,551.04,4,0.4,-285.04
135,CN-202021-2084652,2022/10/5,2022/10/11,标准级,薛婷-21070,薛婷,消费者,常州,江苏,中国,华东,家具-椅子-10001258,家具,椅子,扶手椅,6665.4,5,0.4,555.1
136,CN-202021-2084652,2022/10/5,2022/10/11,标准级,薛婷-21070,薛婷,消费者,常州,江苏,中国,华东,家具-用具-10000958,家具,用具,门挡,353.304,3,0.4,-164.976
137,CN-202021-2084652,2022/10/5,2022/10/11,标准级,薛婷-21070,薛婷,消费者,常州,江苏,中国,华东,办公用-标签-10004025,办公用品,标签,合法证物标签,100.52,2,0,31.92
138,US-202021-1904299,2022/2/16,2022/2/22,标准级,牛晒-19810,牛晒明,小型企业,张家港,江苏,中国,华东,办公用-系固-10004120,办公用品,系固件,橡皮筋,96.264,2,0.4,-35.336
139,CN-202023-3211633,2024/4/9,2024/4/10,一级,彭绅-19975,彭绅,公司,长沙,湖南,中国,中南,家具-书架-10001491,家具,书架,古典书架,3846.64,2,0,153.72
140,CN-202023-3211633,2024/4/9,2024/4/10,一级,彭绅-19975,彭绅,公司,长沙,湖南,中国,中南,办公用-器具-10000188,办公用品,器具,冰箱,7401.66,3,0,2664.48
141,US-202020-5294254,2021/10/28,2021/10/28,当日,罗嫒-10060,罗嫒,小型企业,杭州,浙江,中国,华东,家具-用具-10004218,家具,用具,相框,435.96,3,0.4,-72.66
142,CN-202022-3988119,2023/4/16,2023/4/20,二级,袁保-10405,袁保,公司,昭通,云南,中国,西南,办公用-信封-10004848,办公用品,信封,搭扣信封,310.24,8,0,2.24
143,CN-202023-3232413,2024/12/4,2024/12/4,当日,杨健-14605,杨健,消费者,密山,黑龙江,中国,东北,家具-椅子-10002448,家具,椅子,折叠椅,799.96,2,0,143.92
